City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Thompson,CA,2021-01-28 16:03:56,55.7435,-97.8558,-31.0,75,40,2.3
68,Havoysund,NO,2021-01-28 16:07:32,70.9963,24.6622,26.6,54,40,20.71
69,Faya,SA,2021-01-28 16:07:33,18.3851,42.4509,68.0,42,0,11.5
70,Conde,BR,2021-01-28 16:07:33,-7.2597,-34.9075,87.8,58,40,13.8
71,Chuy,UY,2021-01-28 16:07:33,-33.6971,-53.4616,80.71,45,68,8.34
72,Saskylakh,RU,2021-01-28 16:07:33,71.9167,114.0833,-42.81,79,39,3.94
73,Victoria,HK,2021-01-28 16:03:04,22.2855,114.1577,64.0,55,0,1.01
74,Harper,LR,2021-01-28 16:07:33,4.375,-7.7169,81.9,78,82,6.76
75,Innoshima,JP,2021-01-28 16:07:33,34.2833,133.1833,42.01,82,71,28.97
76,Korla,CN,2021-01-28 16:07:33,41.7597,86.1469,22.73,83,0,1.77
77,San Ramon,US,2021-01-28 16:07:07,37.7799,-121.978,48.0,100,90,5.75
78,Leningradskiy,RU,2021-01-28 16:07:34,69.3833,178.4167,-22.99,86,84,3.02
79,Chokurdakh,RU,2021-01-28 16:07:34,70.6333,147.9167,-17.95,88,100,6.35
80,Bambous Virieux,MU,2021-01-28 16:07:34,-20.3428,57.7575,80.6,74,40,5.75
81,Khatanga,RU,2021-01-28 16:07:34,71.9667,102.5,-37.53,76,0,5.26
82,Bathsheba,BB,2021-01-28 16:07:34,13.2167,-59.5167,84.2,58,20,23.02
83,Nanortalik,GL,2021-01-28 16:07:34,60.1432,-45.2371,31.1,91,100,9.1
84,Nipawin,CA,2021-01-28 16:07:35,53.3668,-104.0009,3.2,85,90,6.91
85,Saint-Philippe,RE,2021-01-28 16:07:35,-21.3585,55.7679,84.2,61,90,4.61
86,Katsuura,JP,2021-01-28 16:07:35,35.1333,140.3,39.99,87,75,2.3
87,Belmonte,BR,2021-01-28 16:07:35,-15.8631,-38.8828,86.0,66,75,6.91
88,San Quintin,MX,2021-01-28 16:07:35,30.4833,-115.95,56.21,67,100,8.95
89,Srednekolymsk,RU,2021-01-28 16:07:35,67.45,153.6833,-18.15,88,100,6.51
90,Tatawin,TN,2021-01-28 16:07:35,32.9297,10.4518,71.6,28,0,4.61
91,Atexcatzingo,MX,2021-01-28 16:07:36,19.4667,-98.1333,60.8,51,40,17.27
92,Manokwari,ID,2021-01-28 16:07:36,-0.8667,134.0833,78.85,79,100,10.27
93,Kismayo,SO,2021-01-28 16:07:36,-0.3582,42.5454,78.15,82,1,11.65
94,Yulara,AU,2021-01-28 16:07:36,-25.2406,130.9889,86.0,48,92,9.22
95,Necochea,AR,2021-01-28 16:07:36,-38.5473,-58.7368,77.0,44,26,8.99
96,Saint George,US,2021-01-28 16:07:36,37.1041,-113.5841,42.8,52,1,8.05
97,Dangtu,CN,2021-01-28 16:07:36,31.5723,118.4928,36.0,69,0,2.24
98,Ostrovnoy,RU,2021-01-28 16:07:36,68.0531,39.5131,0.45,91,78,11.56
99,Esperance,AU,2021-01-28 16:03:45,-33.8667,121.9,59.0,82,0,6.91
100,Ilulissat,GL,2021-01-28 16:07:37,69.2167,-51.1,10.4,48,1,12.66
101,Dwarka,IN,2021-01-28 16:07:37,22.2394,68.9678,68.18,47,0,8.95
102,Bemidji,US,2021-01-28 16:07:37,47.4736,-94.8803,6.01,60,1,9.22
103,Rolla,US,2021-01-28 16:07:37,37.9514,-91.7713,30.0,74,75,3.44
104,Saldanha,ZA,2021-01-28 16:07:37,-33.0117,17.9442,73.4,46,0,20.71
105,Basar,IN,2021-01-28 16:07:37,27.9833,94.6667,50.99,50,0,2.57
106,Lorengau,PG,2021-01-28 16:07:38,-2.0226,147.2712,81.12,77,100,6.4
107,Ugoofaaru,MV,2021-01-28 16:07:38,5.6667,73.0,81.16,63,97,10.65
108,Marsh Harbour,BS,2021-01-28 16:07:38,26.5412,-77.0636,71.33,80,72,32.68
109,Puerto Ayora,EC,2021-01-28 16:07:38,-0.7393,-90.3518,84.2,70,20,12.66
110,Shenjiamen,CN,2021-01-28 16:04:06,29.9576,122.298,40.17,69,0,20.58
111,Nzega,RW,2021-01-28 16:07:38,-2.479,29.5564,61.79,85,12,1.5
112,Bronnoysund,NO,2021-01-28 16:03:33,65.4625,12.1997,26.6,68,20,13.8
113,Klaksvik,FO,2021-01-28 16:07:38,62.2266,-6.589,33.8,75,26,2.3
114,Riyadh,SA,2021-01-28 16:06:19,24.6877,46.7219,75.2,19,0,10.36
115,Cyangugu,RW,2021-01-28 16:07:39,-2.4846,28.9075,66.49,80,38,2.33
116,Pativilca,PE,2021-01-28 16:07:39,-10.7,-77.7833,76.77,61,10,9.28
117,Tuktoyaktuk,CA,2021-01-28 16:07:39,69.4541,-133.0374,-34.6,74,1,5.75
118,Atbasar,KZ,2021-01-28 16:07:39,51.8,68.3333,16.03,93,62,7.83
119,Constitucion,CL,2021-01-28 16:07:39,-35.3333,-72.4167,67.06,60,100,10.31
120,Joshimath,IN,2021-01-28 16:07:39,30.5667,79.5667,37.17,49,7,5.91
121,Sao Joao Da Barra,BR,2021-01-28 16:07:39,-21.6403,-41.0511,91.4,40,0,20.71
122,Lahad Datu,MY,2021-01-28 16:07:40,5.0268,118.327,75.56,92,33,5.79
123,Planaltina,BR,2021-01-28 16:07:40,-15.4528,-47.6142,84.0,39,75,8.05
124,Mercedes,AR,2021-01-28 16:04:27,-34.6515,-59.4307,92.17,29,94,6.02
125,Granville,AU,2021-01-28 16:07:40,-33.8333,151.0167,66.0,96,100,8.19
126,Isangel,VU,2021-01-28 16:07:40,-19.55,169.2667,78.73,84,98,12.93
127,Atar,MR,2021-01-28 16:07:40,20.5169,-13.0499,88.03,12,0,15.95
128,Port Alfred,ZA,2021-01-28 16:07:40,-33.5906,26.891,73.0,76,6,3.0
129,Bay Roberts,CA,2021-01-28 16:07:40,47.5999,-53.2648,30.0,80,90,13.8
130,Cabras,IT,2021-01-28 16:07:41,39.93,8.5314,52.0,91,20,21.99
131,Bor,RU,2021-01-28 16:07:41,56.3567,44.0669,32.0,86,90,4.47
132,Russell,US,2021-01-28 16:07:41,32.3502,-85.1999,45.0,49,1,13.8
133,Salalah,OM,2021-01-28 16:07:41,17.0151,54.0924,75.2,53,0,2.3
134,Bengkulu,ID,2021-01-28 16:07:41,-3.8004,102.2655,75.87,91,100,12.55
135,Havre-Saint-Pierre,CA,2021-01-28 16:07:41,50.2334,-63.5986,12.2,67,1,6.91
136,Karratha,AU,2021-01-28 16:07:41,-20.7377,116.8463,85.84,55,0,10.49
137,Acari,PE,2021-01-28 16:07:41,-15.4311,-74.6158,83.07,44,23,10.31
138,Siocon,PH,2021-01-28 16:07:42,7.7061,122.1353,77.85,83,46,8.61
139,Nola,IT,2021-01-28 16:07:42,40.922,14.5329,53.01,53,73,5.01
140,Olafsvik,IS,2021-01-28 16:07:42,64.8945,-23.7142,29.66,87,46,3.49
141,Nhulunbuy,AU,2021-01-28 16:07:42,-12.2333,136.7667,77.0,88,100,6.91
142,Neustadt,DE,2021-01-28 16:07:42,49.7117,12.0872,34.0,100,90,4.41
143,Severo-Kurilsk,RU,2021-01-28 16:07:42,50.6789,156.125,28.33,95,85,19.71
144,Santa Rosalia,MX,2021-01-28 16:07:42,27.3167,-112.2833,58.57,37,49,2.06
145,Marawi,PH,2021-01-28 16:07:43,7.9986,124.2928,73.0,95,58,4.0
146,Broken Hill,AU,2021-01-28 16:07:43,-31.95,141.4333,75.2,83,86,16.11
147,Yerbogachen,RU,2021-01-28 16:07:43,61.2767,108.0108,-40.4,80,26,6.17
148,Bima,ID,2021-01-28 16:07:43,-8.4667,118.7167,77.45,88,100,4.25
149,Erenhot,CN,2021-01-28 16:07:43,43.6475,111.9767,6.4,84,4,8.68
150,Las Lomas,PA,2021-01-28 16:07:43,8.4333,-82.4,84.2,65,20,8.05
151,Cayenne,GF,2021-01-28 16:07:43,4.9333,-52.3333,84.2,65,75,10.36
152,Iwanai,JP,2021-01-28 16:07:44,42.9744,140.5089,25.97,92,100,12.08
153,Tuatapere,NZ,2021-01-28 16:07:44,-46.1333,167.6833,48.0,81,85,8.01
154,Bluff,NZ,2021-01-28 16:07:44,-46.6,168.3333,48.0,81,73,8.01
155,Tiksi,RU,2021-01-28 16:07:44,71.6872,128.8694,-20.54,88,100,5.73
156,Buala,SB,2021-01-28 16:07:44,-8.145,159.5921,81.19,83,100,10.8
157,Emporia,US,2021-01-28 16:05:59,38.4039,-96.1817,26.6,80,90,13.8
158,Lavrentiya,RU,2021-01-28 16:07:44,65.5833,-171.0,-5.78,86,100,15.39
159,Ashland,US,2021-01-28 16:07:44,40.8167,-82.2665,19.4,68,90,10.36
160,Champerico,GT,2021-01-28 16:07:44,14.3,-91.9167,84.2,61,0,6.62
161,Mar Del Plata,AR,2021-01-28 16:07:45,-38.0023,-57.5575,78.8,44,75,11.5
162,Sao Filipe,CV,2021-01-28 16:07:45,14.8961,-24.4956,77.97,55,42,7.05
163,Warrington,GB,2021-01-28 16:03:18,53.3925,-2.5802,52.0,82,20,10.36
164,Lagoa,PT,2021-01-28 16:07:45,39.05,-27.9833,61.5,86,34,28.32
165,Kaitangata,NZ,2021-01-28 16:07:45,-46.2817,169.8464,46.99,83,94,5.99
166,Roald,NO,2021-01-28 16:07:45,62.5833,6.1333,33.8,75,75,18.41
167,Sorland,NO,2021-01-28 16:07:45,67.667,12.6934,32.0,64,0,17.27
168,Torbay,CA,2021-01-28 16:03:18,47.6666,-52.7314,30.0,80,90,13.8
169,Husavik,IS,2021-01-28 16:07:46,66.0449,-17.3389,1.4,85,0,5.75
170,San Cristobal,VE,2021-01-28 16:03:15,7.7669,-72.225,82.4,57,40,4.61
171,Pochutla,MX,2021-01-28 16:07:46,15.7432,-96.4661,82.0,57,75,4.7
172,Norman Wells,CA,2021-01-28 16:07:46,65.282,-126.8329,-23.8,76,75,4.61
173,East London,ZA,2021-01-28 16:07:46,-33.0153,27.9116,75.2,53,0,11.5
174,Grindavik,IS,2021-01-28 16:07:46,63.8424,-22.4338,26.6,80,0,8.05
175,Bom Jesus,BR,2021-01-28 16:07:46,-9.0744,-44.3586,91.36,42,100,7.7
176,Ayan,RU,2021-01-28 16:07:46,56.45,138.1667,-12.44,78,100,8.37
177,Damietta,EG,2021-01-28 16:07:10,31.4165,31.8133,60.8,55,40,12.66
178,High River,CA,2021-01-28 16:07:47,50.5834,-113.8687,8.6,92,64,3.44
179,Ponta Delgada,PT,2021-01-28 16:07:47,37.7333,-25.6667,64.99,94,75,14.97
180,Faanui,PF,2021-01-28 16:07:47,-16.4833,-151.75,80.96,70,42,8.84
181,Deputatskiy,RU,2021-01-28 16:07:47,69.3,139.9,-39.19,80,90,4.38
182,Council Bluffs,US,2021-01-28 16:03:13,41.2619,-95.8608,23.0,86,90,11.5
183,Inuvik,CA,2021-01-28 16:07:47,68.3499,-133.7218,-22.0,76,87,6.91
184,Fare,PF,2021-01-28 16:07:47,-16.7,-151.0167,80.73,70,75,8.77
185,Arraial Do Cabo,BR,2021-01-28 16:07:47,-22.9661,-42.0278,95.0,48,0,14.97
186,Iqaluit,CA,2021-01-28 16:07:48,63.7506,-68.5145,-9.4,64,1,36.82
187,Airai,TL,2021-01-28 16:07:48,-8.9266,125.4092,61.21,100,100,3.62
188,Bowen,AU,2021-01-28 16:07:48,-20.0167,148.2333,75.2,88,75,6.91
189,Kahului,US,2021-01-28 16:04:48,20.8947,-156.47,71.6,68,40,20.71
190,Kyabe,TD,2021-01-28 16:07:02,9.4515,18.9449,98.58,10,64,3.83
191,Kouroussa,GN,2021-01-28 16:07:48,10.65,-9.8833,97.84,9,0,5.17
192,Muros,ES,2021-01-28 16:07:48,42.7762,-9.0603,59.0,90,100,17.9
193,Hithadhoo,MV,2021-01-28 16:07:48,-0.6,73.0833,81.18,73,100,9.53
194,Dikson,RU,2021-01-28 16:07:49,73.5069,80.5464,-31.11,80,60,7.83
195,Nha Trang,VN,2021-01-28 16:05:07,12.25,109.1833,75.2,69,40,19.57
196,Huangmei,CN,2021-01-28 16:07:49,30.1924,116.025,41.2,67,0,4.9
197,Vardo,NO,2021-01-28 16:07:49,70.3705,31.1107,24.8,74,75,17.27
198,Ixtapa,MX,2021-01-28 16:07:49,20.7,-105.2,68.0,77,75,6.91
199,Palencia,ES,2021-01-28 16:07:49,42.4167,-4.5,60.01,70,88,5.99
