City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Yulara,AU,-25.2406,130.9889,80.6,65,75,17.27,broken clouds,2021-01-29 16:56:39
60,Punta Arenas,CL,-53.15,-70.9167,48.2,53,75,16.11,broken clouds,2021-01-29 16:56:42
61,Mayumba,GA,-3.432,10.6554,80.82,81,100,8.34,overcast clouds,2021-01-29 17:00:29
62,Tuyen Quang,VN,21.8233,105.2181,61.5,75,35,2.13,scattered clouds,2021-01-29 17:00:29
63,Butaritari,KI,3.0707,172.7902,80.22,80,100,16.87,overcast clouds,2021-01-29 17:00:29
64,Dubbo,AU,-32.25,148.6167,71.6,83,90,10.36,overcast clouds,2021-01-29 17:00:29
65,Vaini,TO,-21.2,-175.2,73.4,94,90,8.05,light rain,2021-01-29 17:00:29
66,Hobart,AU,-42.8794,147.3294,62.6,88,90,5.75,light rain,2021-01-29 17:00:06
67,Airai,TL,-8.9266,125.4092,61.77,100,100,4.18,overcast clouds,2021-01-29 17:00:30
68,Euclides Da Cunha,BR,-10.5075,-39.0158,89.71,37,100,10.45,overcast clouds,2021-01-29 17:00:30
69,Les Cayes,HT,18.2,-73.75,82.71,45,0,6.15,clear sky,2021-01-29 17:00:30
70,Hilo,US,19.7297,-155.09,66.2,88,90,4.61,moderate rain,2021-01-29 17:00:13
71,Baykit,RU,61.67,96.37,-39.28,75,92,4.79,overcast clouds,2021-01-29 17:00:30
72,Sioux Lookout,CA,50.1001,-91.917,-2.2,84,20,4.61,few clouds,2021-01-29 16:56:43
73,Provideniya,RU,64.3833,-173.3,-9.63,82,94,7.96,overcast clouds,2021-01-29 17:00:30
74,Kaitangata,NZ,-46.2817,169.8464,42.67,92,15,5.86,few clouds,2021-01-29 16:57:14
75,Atuona,PF,-9.8,-139.0333,78.55,76,8,18.97,clear sky,2021-01-29 17:00:31
76,Katsuura,JP,35.1333,140.3,37.4,35,20,13.8,few clouds,2021-01-29 16:57:19
77,Batemans Bay,AU,-35.7167,150.1833,66.99,97,96,3.0,overcast clouds,2021-01-29 17:00:31
78,Yellowknife,CA,62.456,-114.3525,-22.0,76,20,10.36,few clouds,2021-01-29 16:59:53
79,San Matias,BO,-16.3667,-58.4,86.92,60,79,9.28,broken clouds,2021-01-29 17:00:31
80,Kodiak,US,57.79,-152.4072,33.8,69,75,18.41,light snow,2021-01-29 17:00:32
81,Hambantota,LK,6.1241,81.1185,78.3,78,99,7.38,overcast clouds,2021-01-29 17:00:32
82,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,78,0,3.44,clear sky,2021-01-29 17:00:32
83,Iberia,US,29.9502,-91.7507,51.01,71,1,8.05,clear sky,2021-01-29 17:00:32
84,Codrington,AU,-38.2667,141.9667,60.8,81,49,13.02,scattered clouds,2021-01-29 16:56:36
85,Yumen,CN,40.2833,97.2,23.34,73,0,15.66,clear sky,2021-01-29 17:00:32
86,Surt,LY,31.2089,16.5887,67.8,48,0,9.95,clear sky,2021-01-29 17:00:32
87,Rafaela,AR,-31.2503,-61.4867,88.39,40,19,11.65,few clouds,2021-01-29 17:00:33
